epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,1605.05,0.64052,0.82268,0.92746,0.99654,0.98462,0.99456,0.89456,0.53161,0.80582,0.92212,0.0007526,0.0007526,0.0007526
65,1634.13,0.65569,0.84043,0.96437,0.98082,0.98462,0.99424,0.89572,0.5153,0.79888,0.9128,0.0007328,0.0007328,0.0007328
66,1663.46,0.58627,0.79789,0.93708,0.96996,0.99359,0.99424,0.89254,0.48286,0.76833,0.89565,0.000713,0.000713,0.000713
67,1689.8,0.65847,0.83113,0.94431,0.96996,0.99359,0.99424,0.89254,0.48286,0.76833,0.89565,0.0006932,0.0006932,0.0006932
68,1715.94,0.55575,0.76441,0.95916,1,0.96826,0.99208,0.89495,0.48178,0.76652,0.89729,0.0006734,0.0006734,0.0006734
69,1745.82,0.57001,0.67215,0.92288,0.99639,0.96923,0.99122,0.89282,0.47899,0.76579,0.89311,0.0006536,0.0006536,0.0006536
70,1770.36,0.62433,0.76844,0.9591,1,0.96687,0.99285,0.87948,0.49122,0.74283,0.89658,0.0006338,0.0006338,0.0006338
71,1795.09,0.60115,0.71756,0.93315,1,0.96687,0.99285,0.87948,0.49122,0.74283,0.89658,0.000614,0.000614,0.000614
72,1819.78,0.60335,0.84194,0.95515,0.99913,0.95385,0.99337,0.87686,0.50492,0.73395,0.90412,0.0005942,0.0005942,0.0005942
73,1849.71,0.57875,0.7562,0.93321,1,0.98304,0.99415,0.86957,0.5045,0.73823,0.90243,0.0005744,0.0005744,0.0005744
74,1877.42,0.5657,0.7302,0.95303,1,0.98146,0.99429,0.88341,0.48808,0.7538,0.89836,0.0005546,0.0005546,0.0005546
75,1911.9,0.57856,0.73388,0.92374,1,0.98146,0.99429,0.88341,0.48808,0.7538,0.89836,0.0005348,0.0005348,0.0005348
76,1950.94,0.60957,0.78212,0.96326,0.98248,0.98462,0.9947,0.8877,0.48131,0.76813,0.89425,0.000515,0.000515,0.000515
77,1979.43,0.61862,0.73306,0.93693,0.98292,1,0.99348,0.89023,0.47284,0.77243,0.88956,0.0004952,0.0004952,0.0004952
78,2011.98,0.61914,0.76732,0.95936,0.98483,0.9989,0.99318,0.90247,0.45612,0.75346,0.88662,0.0004754,0.0004754,0.0004754
79,2039.77,0.67646,0.77608,0.98376,0.98483,0.9989,0.99318,0.90247,0.45612,0.75346,0.88662,0.0004556,0.0004556,0.0004556
80,2066.8,0.551,0.65531,0.90029,0.98337,1,0.99485,0.91169,0.44977,0.69285,0.89098,0.0004358,0.0004358,0.0004358
81,2095.02,0.56221,0.63768,0.94861,1,0.99804,0.995,0.90669,0.44537,0.66583,0.88514,0.000416,0.000416,0.000416
